name,description,latitude,longitude,image_url,type,source,state
Acadia National Park,"Acadia National Park is a national park of the United States located along the mid-section of the Maine coast, southwest of Bar Harbor. The park includes about half of Mount Desert Island, part of the Isle au Haut, the tip of the Schoodic Peninsula, and portions of sixteen smaller outlying islands.",44.35,-68.21666667,https://upload.wikimedia.org/wikipedia/commons/thumb/7/76/Bass_Harbor_Lighthouse_b.jpg/330px-Bass_Harbor_Lighthouse_b.jpg,natural,https://en.wikipedia.org/api/rest_v1/page/summary/Acadia_National_Park,Maine
Arches National Park,"Arches National Park is a national park of the United States in eastern Utah. The park is adjacent to the Colorado River, 4 mi (6 km) north of Moab, Utah. The park contains more than 2,000 natural sandstone arches, including the well-known Delicate Arch, which constitute the highest density of natural arches in the world. It also contains a variety of other unique geological resources and formations. The national park lies above an underground evaporite layer or salt bed, which is the main cause of the formation of the arches, spires, balanced rocks, sandstone fins, and eroded monoliths in the area.",38.72805556,-109.54,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f0/Delicate_arch_sunset.jpg/330px-Delicate_arch_sunset.jpg,natural,https://en.wikipedia.org/api/rest_v1/page/summary/Arches_National_Park,Utah
Badlands National Park,"Badlands National Park is a national park of the United States in southwestern South Dakota. The park protects 242,756 acres of sharply eroded buttes and pinnacles, along with the largest undisturbed mixed grass prairie in the United States. The National Park Service manages the park, with the South Unit being co-managed with the Oglala Lakota tribe.",43.75,-102.5,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b9/MK00609_Badlands.jpg/330px-MK00609_Badlands.jpg,natural,https://en.wikipedia.org/api/rest_v1/page/summary/Badlands_National_Park,South Dakota
Big Bend National Park,"Big Bend National Park is a national park of the United States located in West Texas, bordering Mexico. The park has national significance as the largest protected area of Chihuahuan Desert topography and ecology in the United States, and was named after a large bend in the Rio Grande/Río Bravo. The park protects more than 1,200 species of plants, more than 450 species of birds, 56 species of reptiles, and 75 species of mammals. Additional park activities include scenic drives, programs led by Big Bend park rangers, and stargazing.",29.25,-103.25,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f6/Canyon%2C_Rio_Grande%2C_Texas.jpeg/330px-Canyon%2C_Rio_Grande%2C_Texas.jpeg,natural,https://en.wikipedia.org/api/rest_v1/page/summary/Big_Bend_National_Park,Texas
Biscayne National Park,"Biscayne National Park is a national park of the United States located south of Miami, Florida, in Miami-Dade County. The park preserves Biscayne Bay and its offshore barrier reefs. Ninety-five percent of the park is water, and the shore of the bay is the location of an extensive mangrove forest. The park covers 172,971 acres and includes Elliott Key, the park's largest island and northernmost of the true Florida Keys, formed from fossilized coral reef. The islands farther north in the park are transitional islands of coral and sand. The offshore portion of the park includes the northernmost region of the Florida Reef, one of the largest coral reefs in the world.",25.46944444,-80.18611111,https://upload.wikimedia.org/wikipedia/commons/thumb/4/48/Biscayne.JPG/330px-Biscayne.JPG,natural,https://en.wikipedia.org/api/rest_v1/page/summary/Biscayne_National_Park,Florida
Black Canyon of the Gunnison National Park,"Black Canyon of the Gunnison National Park is a national park of the United States located in western Colorado and managed by the National Park Service. The Black Canyon of the Gunnison was established as a national monument on March 2, 1933. It was redesignated a national park on October 21, 1999, and incorporated 4,000 acres owned by the Bureau of Land Management. The Gunnison Gorge National Conservation Area was created at the same time. There are two primary entrances to the park: the south rim entrance is located 15 miles (24 km) east of Montrose, while the north rim entrance is 11 miles (18 km) south of Crawford and is closed in the winter. The park contains 12 miles (19 km) of the 48-mile-long (77 km) Gunnison River. The national park itself contains the deepest and most dramatic section of the canyon, but the canyon continues upstream into Curecanti National Recreation Area and downstream into Gunnison Gorge National Conservation Area. The canyon's name owes itself to the fact that parts of the gorge only receive 33 minutes of sunlight a day, according to Images of America: The Black Canyon of the Gunnison. In the book, author Duane Vandenbusche states, ""Several canyons of the American West are longer and some are deeper, but none combines the depth, sheerness, narrowness, darkness, and dread of the Black Canyon.""",38.5791,-107.7276,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0b/Black_Canyon_and_Gunnison_River_2008.jpg/330px-Black_Canyon_and_Gunnison_River_2008.jpg,natural,https://en.wikipedia.org/api/rest_v1/page/summary/Black_Canyon_of_the_Gunnison_National_Park,Colorado
Bryce Canyon National Park,"Bryce Canyon National Park is a national park of the United States located in southwestern Utah. The major feature of the park is Bryce Canyon, which despite its name, is not a canyon, but a collection of giant natural amphitheaters along the eastern side of the Paunsaugunt Plateau. Bryce is distinctive due to geological structures called hoodoos, formed by frost weathering and stream erosion of the river and lake bed sedimentary rock. The red, orange, and white colors of the rocks provide spectacular views for park visitors. Bryce Canyon National Park is much smaller and sits at a much higher elevation than nearby Zion National Park. The rim at Bryce varies from 8,000 to 9,000 feet.",37.64,-112.17,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/Inspiration_Point_Bryce_Canyon_November_2018_panorama.jpg/330px-Inspiration_Point_Bryce_Canyon_November_2018_panorama.jpg,natural,https://en.wikipedia.org/api/rest_v1/page/summary/Bryce_Canyon_National_Park,Utah
Canyonlands National Park,"Canyonlands National Park is a national park of the United States located in southeastern Utah near the town of Moab. The park preserves a colorful landscape eroded into numerous canyons, mesas, and buttes by the Colorado River, the Green River, and their respective tributaries. Legislation creating the park was signed into law by President Lyndon B. Johnson on September 12, 1964.",38.16691,-109.75966,https://upload.wikimedia.org/wikipedia/commons/thumb/9/99/Green_River_Overlook_Ekker_Butte.jpg/330px-Green_River_Overlook_Ekker_Butte.jpg,natural,https://en.wikipedia.org/api/rest_v1/page/summary/Canyonlands_National_Park,Utah
Capitol Reef National Park,"Capitol Reef National Park is a national park of the United States in south-central Utah. The park is approximately 60 miles (100 km) long on its north–south axis and just 6 miles (10 km) wide on average. The park was established in 1971 to preserve 241,904 acres of desert landscape and is open all year, with May through September receiving the most visitors.",38.2,-111.16666667,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1f/Capitol_Reef_National_Park.jpg/330px-Capitol_Reef_National_Park.jpg,natural,https://en.wikipedia.org/api/rest_v1/page/summary/Capitol_Reef_National_Park,Utah
Carlsbad Caverns National Park,Carlsbad Caverns National Park is a national park of the United States in the Guadalupe Mountains of southeastern New Mexico. The primary attraction of the park is the show cave Carlsbad Cavern. Visitors can hike in on their own via the natural entrance or take an elevator from the visitor center.,32.17527778,-104.44388889,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dd/Carlsbad_Interior_Formations.jpg/330px-Carlsbad_Interior_Formations.jpg,natural,https://en.wikipedia.org/api/rest_v1/page/summary/Carlsbad_Caverns_National_Park,New Mexico
Channel Islands National Park,"Channel Islands National Park is a national park of the United States, which consists of five of the eight Channel Islands off the coast of California. Although the islands are close to the shore of the densely populated state, they have been relatively undeveloped. The park covers 249,561 acres (100,994 ha), of which 79,019 acres (31,978 ha) are federal land.",34.00833333,-119.41666667,https://upload.wikimedia.org/wikipedia/commons/thumb/4/42/Channel_Islands_National_Park_by_Sentinel-2.jpg/330px-Channel_Islands_National_Park_by_Sentinel-2.jpg,natural,https://en.wikipedia.org/api/rest_v1/page/summary/Channel_Islands_National_Park,California
Congaree National Park,"Congaree National Park is a 26,692.6-acre national park of the United States in central South Carolina, 18 miles southeast of the state capital, Columbia. The park preserves the largest tract of old growth bottomland hardwood forest left in the United States. The lush trees growing in its floodplain forest are some of the tallest in the eastern United States, forming one of the highest temperate deciduous forest canopies remaining in the world. The Congaree River flows through the park. About 15,000 acres are designated as a wilderness area.",33.78333333,-80.78333333,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4f/A548%2C_Congaree_National_Park%2C_South_Carolina%2C_USA%2C_2012.jpg/330px-A548%2C_Congaree_National_Park%2C_South_Carolina%2C_USA%2C_2012.jpg,natural,https://en.wikipedia.org/api/rest_v1/page/summary/Congaree_National_Park,South Carolina
Crater Lake National Park,"Crater Lake National Park is a national park of the United States located in southern Oregon. Established in 1902, Crater Lake is the fifth-oldest national park in the United States and the only national park in Oregon. The park encompasses the caldera of Crater Lake, a remnant of Mount Mazama, a destroyed volcano, and the surrounding hills and forests.",42.91183,-122.14807,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8d/Above_Crater_Lake_%28cropped%29.jpg/330px-Above_Crater_Lake_%28cropped%29.jpg,natural,https://en.wikipedia.org/api/rest_v1/page/summary/Crater_Lake_National_Park,Oregon
Cuyahoga Valley National Park,"Cuyahoga Valley National Park is a national park of the United States in Ohio that reclaims and preserves the industrial, commercial, and rural landscape along the Cuyahoga River between Akron and Cleveland in Northeast Ohio.",41.24166667,-81.54972222,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Cuyahoga_Valley_National_Park_20.jpg/330px-Cuyahoga_Valley_National_Park_20.jpg,natural,https://en.wikipedia.org/api/rest_v1/page/summary/Cuyahoga_Valley_National_Park,Ohio
Death Valley National Park,"Death Valley National Park is a national park of the United States that straddles the California–Nevada border, east of the Sierra Nevada. The park boundaries include Death Valley, the northern section of Panamint Valley, the southern section of Eureka Valley and most of Saline Valley.",36.24194444,-116.82583333,https://upload.wikimedia.org/wikipedia/commons/thumb/8/87/Mesquite_Sand_Dunes_in_Death_Valley.jpg/330px-Mesquite_Sand_Dunes_in_Death_Valley.jpg,natural,https://en.wikipedia.org/api/rest_v1/page/summary/Death_Valley_National_Park,California
Denali National Park and Preserve,"Denali National Park and Preserve, formerly known as Mount McKinley National Park, is a United States national park and preserve located in Interior Alaska, centered on Denali, the highest mountain in North America. The park and contiguous preserve encompass 6,045,153 acres which is larger than the state of New Hampshire. On December 2, 1980, 2,146,580-acre Denali Wilderness was established within the park. Denali's landscape is a mix of forest at the lowest elevations, including deciduous taiga, with tundra at middle elevations, and glaciers, snow, and bare rock at the highest elevations. The longest glacier is Kahiltna Glacier. Wintertime activities include dog sledding, cross-country skiing, and snowmobiling. The park received 594,660 recreational visitors in 2018.",63.43,-150.32,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c6/Every_Road-_Denali_%287945497984%29.jpg/330px-Every_Road-_Denali_%287945497984%29.jpg,natural,https://en.wikipedia.org/api/rest_v1/page/summary/Denali_National_Park_and_Preserve,Alaska
Dry Tortugas National Park,"Dry Tortugas National Park is a national park of the United States located about 68 miles (109 km) west of Key West in the Gulf of Mexico, in the United States. The park preserves Fort Jefferson and the several Dry Tortugas islands, the westernmost and most isolated of the Florida Keys. The archipelago's coral reefs are the least disturbed of the Florida Keys reefs.",24.62861111,-82.87333333,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5f/Fort-Jefferson_Dry-Tortugas.jpg/330px-Fort-Jefferson_Dry-Tortugas.jpg,natural,https://en.wikipedia.org/api/rest_v1/page/summary/Dry_Tortugas_National_Park,Florida
Everglades National Park,"Everglades National Park is a national park of the United States that protects the southern twenty percent of the original Everglades in Florida. The park is the largest tropical wilderness in the United States and the largest wilderness of any kind east of the Mississippi River. An average of one million people visit the park each year. Everglades is the third-largest national park in the contiguous United States after Death Valley and Yellowstone. UNESCO declared the Everglades & Dry Tortugas Biosphere Reserve in 1976 and listed the park as a World Heritage Site in 1979, and the Ramsar Convention included the park on its list of Wetlands of International Importance in 1987. Everglades is one of only three locations in the world to appear on all three lists.",25.3125,-80.6875,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2a/Sunset_over_the_River_of_Grass%2C_NPSphoto%2C_G.Gardner_%289255157507%29.jpg/330px-Sunset_over_the_River_of_Grass%2C_NPSphoto%2C_G.Gardner_%289255157507%29.jpg,natural,https://en.wikipedia.org/api/rest_v1/page/summary/Everglades_National_Park,Florida
Gates of the Arctic National Park and Preserve,"Gates of the Arctic National Park and Preserve is a national park of the United States that protects portions of the Brooks Range in northern Alaska. The park is the northernmost national park in the United States, situated entirely north of the Arctic Circle. The area of the park and preserve is the second largest in the U.S. at 8,472,506 acres ; the National Park portion is the second largest in the U.S., after the National Park portion of Wrangell–St. Elias National Park and Preserve.",67.78333333,-153.3,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fc/Remote_river_in_Gates_of_the_Arctic_%2816524035298%29.jpg/330px-Remote_river_in_Gates_of_the_Arctic_%2816524035298%29.jpg,natural,https://en.wikipedia.org/api/rest_v1/page/summary/Gates_of_the_Arctic_National_Park_and_Preserve,Alaska
Gateway Arch National Park,"Gateway Arch National Park is a national park of the United States located in St. Louis, Missouri, near the starting point of the Lewis and Clark Expedition.",38.6246,-90.18497,https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/Gateway_Arch%2C_St._Louis.jpg/330px-Gateway_Arch%2C_St._Louis.jpg,natural,https://en.wikipedia.org/api/rest_v1/page/summary/Gateway_Arch_National_Park,Missouri
Glacier Bay National Park and Preserve,"Glacier Bay National Park and Preserve is a national park of the United States located in Southeast Alaska west of Juneau. President Calvin Coolidge proclaimed the area around Glacier Bay a national monument under the Antiquities Act on February 26, 1925. Subsequent to an expansion of the monument by President Jimmy Carter in 1978, the Alaska National Interest Lands Conservation Act (ANILCA) enlarged the national monument by 523,000 acres on December 2, 1980, and created Glacier Bay National Park and Preserve. The national preserve encompasses 58,406 acres of public land to the immediate northwest of the park, protecting a portion of the Alsek River with its fish and wildlife habitats, while allowing sport hunting.",58.5,-137,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bf/A045%2C_Glacier_Bay_National_Park%2C_Alaska%2C_USA%2C_Johns_Hopkins_Glacier%2C_2002.jpg/330px-A045%2C_Glacier_Bay_National_Park%2C_Alaska%2C_USA%2C_Johns_Hopkins_Glacier%2C_2002.jpg,natural,https://en.wikipedia.org/api/rest_v1/page/summary/Glacier_Bay_National_Park_and_Preserve,Alaska
Glacier National Park (U.S.),"Glacier National Park is a national park of the United States located in northwestern Montana, on the Canada–United States border. The park encompasses more than 1 million acres (4,100 km2) and includes parts of two mountain ranges, more than 130 named lakes, more than 1,000 different species of plants, and hundreds of species of animals. This vast pristine ecosystem is the centerpiece of what has been referred to as the ""Crown of the Continent Ecosystem"", a region of protected land encompassing 16,000 sq mi (41,000 km2).",48.755,-113.8,https://upload.wikimedia.org/wikipedia/commons/thumb/5/51/Mountain_Goat_at_Hidden_Lake.jpg/330px-Mountain_Goat_at_Hidden_Lake.jpg,natural,https://en.wikipedia.org/api/rest_v1/page/summary/Glacier_National_Park_(U.S.),Montana
Grand Canyon National Park,"Grand Canyon National Park is a national park of the United States located in northwestern Arizona, the 15th site to have been named as a national park. The park's central feature is the Grand Canyon, a gorge of the Colorado River, which is often considered one of the Wonders of the World. The park, which covers 1,217,262 acres of unincorporated area in Coconino and Mohave counties, received more than 4.7 million recreational visitors in 2023. The Grand Canyon was designated a World Heritage Site by UNESCO in 1979. The park celebrated its 100th anniversary on February 26, 2019.",36.0552608,-112.1218355,https://upload.wikimedia.org/wikipedia/commons/thumb/a/aa/Dawn_on_the_S_rim_of_the_Grand_Canyon_%288645178272%29.jpg/330px-Dawn_on_the_S_rim_of_the_Grand_Canyon_%288645178272%29.jpg,natural,https://en.wikipedia.org/api/rest_v1/page/summary/Grand_Canyon_National_Park,Arizona
Grand Teton National Park,"Grand Teton National Park is a national park of the United States in northwestern Wyoming. At approximately 310,000 acres (1,300 km2), the park includes the major peaks of the 40-mile-long (64 km) Teton Range as well as most of the northern sections of the valley known as Jackson Hole. Grand Teton National Park is 10 miles (16 km) south of Yellowstone National Park, to which it is connected by the John D. Rockefeller Jr. Memorial Parkway which is managed by the National Park Service. Along with surrounding national forests, these three protected areas constitute the almost 22-million-acre (89,000-square-kilometer) Greater Yellowstone Ecosystem, one of the world's largest intact mid-latitude temperate ecosystems.",43.83333333,-110.70083333,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d0/Barns_grand_tetons.jpg/330px-Barns_grand_tetons.jpg,natural,https://en.wikipedia.org/api/rest_v1/page/summary/Grand_Teton_National_Park,Wyoming
Great Basin National Park,"Great Basin National Park is a national park of the United States located in White Pine County in east-central Nevada, near the Utah border, established in 1986. The park is most commonly entered by way of Nevada State Route 488, which is connected to U.S. Routes 6 and 50 by Nevada State Route 487 via the small town of Baker, the closest settlement.",39.00581,-114.21969,https://upload.wikimedia.org/wikipedia/commons/thumb/b/be/Prometheus_Wheeler.jpg/330px-Prometheus_Wheeler.jpg,natural,https://en.wikipedia.org/api/rest_v1/page/summary/Great_Basin_National_Park,Nevada
Great Sand Dunes National Park and Preserve,"Great Sand Dunes National Park and Preserve is a national park of the United States that conserves an area of large sand dunes on the eastern edge of the San Luis Valley, and an adjacent national preserve in the Sangre de Cristo Range, in south-central Colorado. The park was originally designated Great Sand Dunes National Monument on March 17, 1932, by President Herbert Hoover. The original boundaries protected an area of 35,528 acres. A boundary change and redesignation as a national park and preserve was authorized on November 22, 2000, and then established on September 24, 2004. The park encompasses 107,342 acres while the preserve protects an additional 41,686 acres for a total of 149,028 acres. The recreational visitor total was 527,546 in 2019.",37.7329,-105.5121,https://upload.wikimedia.org/wikipedia/commons/thumb/4/48/Great_Sand_Dunes_National_Park_and_Preserve%2C_United_States_%28Unsplash%29.jpg/330px-Great_Sand_Dunes_National_Park_and_Preserve%2C_United_States_%28Unsplash%29.jpg,natural,https://en.wikipedia.org/api/rest_v1/page/summary/Great_Sand_Dunes_National_Park_and_Preserve,Colorado
Great Smoky Mountains National Park,"Great Smoky Mountains National Park is a national park of the United States in the southeast, with parts in North Carolina and Tennessee. The park straddles the ridgeline of the Great Smoky Mountains, part of the Blue Ridge Mountains, which are a division of the larger Appalachian Mountain chain. The park contains some of the highest mountains in eastern North America, including Kuwohi, Mount Guyot, and Mount Le Conte. The border between the two states runs northeast to southwest through the center of the park. The Appalachian Trail passes through the center of the park on its route from Georgia to Maine. With 13 million visitors in 2023, the Great Smoky Mountains National Park is the most visited national park in the United States.",35.61111111,-83.425,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/View_atop_Cliff_Tops_on_Mount_LeConte%2C_GSMNP%2C_TN.jpg/330px-View_atop_Cliff_Tops_on_Mount_LeConte%2C_GSMNP%2C_TN.jpg,natural,https://en.wikipedia.org/api/rest_v1/page/summary/Great_Smoky_Mountains_National_Park,Tennessee
Guadalupe Mountains National Park,"Guadalupe Mountains National Park is a national park of the United States in the Guadalupe Mountains, east of El Paso, Texas. The mountain range includes Guadalupe Peak, the highest point in Texas at 8,751 feet (2,667 m), and El Capitan used as a landmark by travelers on the route later followed by the Butterfield Overland Mail stagecoach line. The ruins of a stagecoach station stand near the Pine Springs visitor center. The restored Frijole Ranch contains a small museum of local history and is the trailhead for Smith Spring. The park covers 86,367 acres in the same mountain range as Carlsbad Caverns National Park, about 25 miles (40 km) to the north in New Mexico. The Guadalupe Peak Trail winds through pinyon pine and Douglas-fir forests as it ascends over 3,000 feet (910 m) to the summit of Guadalupe Peak, with views of El Capitan and the Chihuahuan Desert.",31.91666667,-104.86666667,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/Guadalupe_Peak_from_Hunter_Peak.jpg/330px-Guadalupe_Peak_from_Hunter_Peak.jpg,natural,https://en.wikipedia.org/api/rest_v1/page/summary/Guadalupe_Mountains_National_Park,Texas
Haleakalā National Park,"Haleakalā National Park is a national park of the United States located on the island of Maui, Hawaii. Named after Haleakalā, a dormant volcano within its boundaries, the park covers an area of 33,265 acres, of which 24,719 acres is a wilderness area. The land was designated a national park in 1976 and its boundaries expanded in 2005.",20.71666667,-156.16666667,https://upload.wikimedia.org/wikipedia/commons/thumb/4/48/Haleakala_National_Park_02.jpg/330px-Haleakala_National_Park_02.jpg,natural,https://en.wikipedia.org/api/rest_v1/page/summary/Haleakalā_National_Park,Hawaii
Hawaiʻi Volcanoes National Park,"Hawaiʻi Volcanoes National Park is a national park of the United States located in Hawaii on the island of Hawaii. The park encompasses two active volcanoes: Kīlauea, one of the world's most active volcanoes, and Mauna Loa, the world's largest shield volcano. The park provides scientists with insight into the development of the Hawaiian Islands and access for studies of volcanism. For visitors, the park offers dramatic volcanic landscapes, glimpses of rare flora and fauna, and a view into the traditional Hawaiian culture connected to these landscapes.",19.38333333,-155.2,https://upload.wikimedia.org/wikipedia/commons/thumb/8/89/P%C4%81hoehoe_and_Aa_flows_at_Hawaii.jpg/330px-P%C4%81hoehoe_and_Aa_flows_at_Hawaii.jpg,natural,https://en.wikipedia.org/api/rest_v1/page/summary/Hawaiʻi_Volcanoes_National_Park,Hawaii
Hot Springs National Park,"Hot Springs National Park is a national park of the United States in central Garland County, Arkansas, adjacent to the city of Hot Springs. Hot Springs Reservation was initially created by an act of the United States Congress on April 20, 1832, to be preserved for future recreation. Established before the concept of a national park existed, it was the first time that land had been set aside by the federal government to preserve its use as an area for recreation. The hot spring water has been popularly believed for centuries to possess medicinal properties, and was a subject of legend among several Native American tribes. Following federal protection in 1832, the city developed into a successful spa town.",34.51361111,-93.05361111,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/Steamy_Entrance_Springs_on_Cold_Night_in_Hot_Springs_National_Park.jpg/330px-Steamy_Entrance_Springs_on_Cold_Night_in_Hot_Springs_National_Park.jpg,natural,https://en.wikipedia.org/api/rest_v1/page/summary/Hot_Springs_National_Park,Arkansas
